OVL-       7    40   279   -86     0     1     3    43     0
OVL-       8   240   311  -106     0     1     1   241     0
OVL-       9    36   359   -97     0     1     1    37     0
OVL-      10    20   323   -86     1     1     3    23     0
OVL-      11     0     0     0     0     0     0     0     1
OVL-      12   100   415   -90     1     1     2   102     0
OVL-      13    28   471   -80     0     1     6    34     0
OVL-      14    36   463  -106     0     1     1    37     0
OVL-      15    10   539   -92     0     1     3    13     0
OVL-      16    28     3   -96     0     1     6    34     0
OVL-      17     0     0     0     0     0     0     0     1
FWD-       0    24   103  -210     0     1     3    27     0
FWD-       1     7    55  -215     1     1     1     8     0
FWD-       2     8    27  -201     0     1     3    11     0
FWD-       3    36   207  -174     1     1     3    39     0
FWD-       4    24   135  -129     1     1     3    27     0
FWD-       5    24   147  -215     1     1     3    27     0
FWD-       6   240   287  -215     0     1     3   243     0
FWD-       7   240   263  -197     1     1     3   243     0
FWD-       8    24   279  -206     0     1     3    27     0
FWD-       9    24   335  -147     1     1     2    26     0
FWD-      10   240   315  -201     1     1     3   243     0
FWD-      11     0     0     0     0     0     0     0     1
FWD-      12    40   459  -170     0     1     3    43     0
FWD-      13    36   419  -206     1     1     3    39     0
FWD-      14    24   455  -201     0     1     3    27     0
FWD-      15    24   531  -197     0     1     3    27     0
FWD-      16    36   515  -138     0     1     1    37     0
FWD-      17    14    11  -179     0     1     1    15     0
# TRACKS
#TYPE   ETA0  PHI0 QUAL0  ETA1  PHI1 QUAL1  ETA2  PHI2 QUAL2
FTRK+    197    55     1   215    27     2   120    87     1
FTRK+    129    87     1   210    55     3   183    11     3
FTRK+    179    35     3   201    19     3     0     0     0
FTRK+    201     7     1   197    55     3   160    11     1
FTRK+    192    59     3   179    11     3     0     0     0
FTRK+    210    72     3   215    15     3   165    43     3
OTRK+     96    43     3   106    95     1    86    59     2
OTRK+     90    75     2    90    51     2     0     0     0
OTRK+     72    67     2    90    51     2     0     0     0
OTRK+     96    67     3    72    35     2    96     3     3
OTRK+     86    19     3    97    87     3     0     0     0
OTRK+     90    87     6   106    43     3   101    11     1
BTRK     -59    39     3   -39    15     3    45    19     3
BTRK      45    19     3   -21     3     3   -45    23     7
BTRK     -62    31     5     0     0     0     0     0     0
BTRK      49     7     4   -11     3     2   -31    27     5
BTRK      45    31     3     4    11     6     0    39     3
BTRK       0    27     3    45    43     3    69     7     2
BTRK       0     0     0     0     0     0     0     0     0
BTRK       0    15     3   -66    15     3   -41    19     7
